"","X","Rk","School","G","TeamW","TeamL","W.L.","SRS","SOS","ConfW","ConfL","HomeW","HomeL","AwayW","AwayL","Tm.","Opp.","FTr","X3PAr","TS.","TRB.","AST.","BLK.","eFG.","TOV.","FT.FGA","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","year"
"3992",3992,279,"South Dakota State",34,26,8,0.765,5.44,-1.22,12,4,13,0,8,7,2591,2316,0.402,0.367,0.558,53.7,43.4,6.6,0.515,14.7,0.298,877,1950,0.45,255,715,0.357,582,783,0.743,381,1279,381,169,84,399,670,2015
"3993",3993,280,"South Dakota",32,14,18,0.438,-5.58,-0.88,5,11,6,6,5,10,2443,2537,0.305,0.289,0.546,47.7,53.9,9.8,0.518,14.8,0.214,912,1954,0.467,201,565,0.356,418,596,0.701,289,1077,492,209,113,388,662,2015
"3998",3998,285,"SIU Edwardsville",28,6,22,0.214,-10.78,-2.6,3,13,3,11,3,11,1839,2068,0.369,0.326,0.492,50.5,47.8,10.3,0.448,16.8,0.26,634,1591,0.398,158,519,0.304,413,587,0.704,339,1001,303,138,112,377,619,2015
"4035",4035,322,"Utah Valley",30,12,18,0.4,-9.58,-3.58,6,8,7,7,5,9,2280,2360,0.343,0.398,0.535,47.7,55.4,7.1,0.498,15.8,0.248,785,1833,0.428,256,729,0.351,454,628,0.723,276,1100,435,176,95,399,627,2015
"4065",4065,1,"Abilene Christian",29,13,16,0.448,-11.86,-7.1,7,11,9,5,4,11,2009,2073,0.349,0.354,0.554,47.1,56.6,8.5,0.53,18.5,0.232,721,1555,0.464,207,550,0.376,360,543,0.663,222,904,408,210,83,412,631,2016
"4097",4097,33,"Bryant",32,12,20,0.375,-9.69,-5.43,9,9,9,5,2,15,2373,2478,0.332,0.366,0.535,49.4,54.8,5.8,0.499,16.2,0.239,839,1917,0.438,237,701,0.338,458,636,0.72,345,1148,460,218,69,428,680,2016
"4102",4102,38,"Cal State Bakersfield",35,25,10,0.714,3.21,-1.94,12,2,12,1,11,6,2502,2235,0.371,0.32,0.523,52.3,56.6,12.3,0.496,17.8,0.237,895,2035,0.44,229,652,0.351,483,755,0.64,433,1349,507,286,137,519,794,2016
"4105",4105,41,"UC-Davis",36,23,13,0.639,-5.21,-4.68,11,5,11,0,6,9,2525,2506,0.412,0.316,0.526,50.8,52.8,9,0.49,17.6,0.278,873,2008,0.435,221,635,0.348,558,828,0.674,364,1280,461,202,118,513,688,2016
"4112",4112,48,"Central Arkansas",32,8,24,0.25,-13.04,-3.76,7,11,5,6,3,16,2395,2692,0.36,0.321,0.535,48.8,55.6,7.4,0.498,16.6,0.258,836,1910,0.438,230,613,0.375,493,687,0.718,337,1151,465,178,84,446,606,2016
"4158",4158,94,"Florida Gulf Coast",34,26,8,0.765,2.26,-3.42,12,2,16,3,10,3,2701,2356,0.329,0.315,0.579,53.9,52.3,9.7,0.554,15.3,0.231,1007,2017,0.499,221,636,0.347,466,664,0.702,379,1269,527,207,116,421,635,2016
"4175",4175,111,"Grand Canyon",31,22,9,0.71,-0.16,-4.22,11,3,15,3,5,6,2282,2103,0.412,0.342,0.527,50.9,53.5,6.7,0.493,15.5,0.274,790,1812,0.436,205,619,0.331,497,747,0.665,335,1166,423,233,79,397,539,2016
"4184",4184,120,"Houston Baptist",31,17,14,0.548,-7.3,-4.44,12,6,13,1,4,12,2441,2398,0.375,0.298,0.539,54.1,52.5,7,0.503,15.3,0.262,871,1924,0.453,195,574,0.34,504,721,0.699,425,1199,457,195,81,410,597,2016
"4192",4192,128,"Incarnate Word",29,12,17,0.414,-12.14,-5.62,7,11,10,5,2,12,2212,2320,0.452,0.372,0.563,45.7,49.2,10.4,0.527,16.6,0.314,736,1617,0.455,233,601,0.388,507,731,0.694,229,950,362,168,136,391,583,2016
"4198",4198,134,"Fort Wayne",33,20,13,0.606,0.38,-3.19,8,8,14,3,6,9,2869,2602,0.264,0.412,0.599,53.3,54.6,11,0.579,15.8,0.191,1055,2127,0.496,352,876,0.402,407,561,0.725,334,1245,576,255,129,450,592,2016
"4206",4206,142,"Kennesaw State",32,14,18,0.438,-8.44,-5.97,7,7,8,5,6,13,2401,2456,0.308,0.256,0.542,51,56.8,7.4,0.515,16.3,0.213,892,1932,0.462,206,495,0.416,411,595,0.691,358,1146,507,163,95,431,613,2016
"4217",4217,153,"Longwood",30,6,24,0.2,-21.23,-6.16,3,15,5,9,1,15,2018,2408,0.293,0.342,0.533,44.7,43.9,10.3,0.501,19.4,0.214,738,1660,0.445,186,568,0.327,356,487,0.731,218,922,324,175,124,456,539,2016
"4234",4234,170,"Massachusetts-Lowell",31,11,20,0.355,-10.13,-6.4,5,11,8,6,2,14,2429,2517,0.311,0.363,0.58,49,56.4,5.4,0.551,18.5,0.228,877,1825,0.481,258,662,0.39,417,567,0.735,280,1038,495,171,64,474,622,2016
"4260",4260,196,"Omaha",32,18,14,0.563,-2.24,-1.11,9,7,8,4,8,9,2685,2673,0.405,0.388,0.571,48.7,49.4,8.6,0.529,15.9,0.303,895,1972,0.454,297,765,0.388,598,799,0.748,338,1149,442,262,107,444,616,2016
"4267",4267,203,"New Orleans",32,20,12,0.625,-4.1,-5.34,13,5,11,3,7,8,2331,2215,0.427,0.25,0.552,52.9,60.2,8.6,0.513,20.2,0.303,830,1755,0.473,139,438,0.317,532,749,0.71,386,1140,500,252,97,534,562,2016
"4270",4270,206,"NJIT",31,11,20,0.355,-10.12,-4.22,3,11,8,4,2,15,2253,2320,0.323,0.417,0.526,52,50.3,8.1,0.493,16.3,0.227,786,1857,0.423,258,775,0.333,421,599,0.703,343,1134,395,203,89,418,599,2016
"4274",4274,210,"North Carolina Central",34,25,9,0.735,-3.18,-12.12,13,3,11,2,11,6,2542,2159,0.341,0.38,0.546,51.7,52.7,8.7,0.517,14.8,0.233,910,2005,0.454,255,761,0.335,467,684,0.683,397,1313,480,209,112,406,587,2016
"4279",4279,215,"North Dakota State",30,19,11,0.633,-1.31,-2.63,11,5,11,2,7,7,2244,2146,0.384,0.372,0.561,50,47.1,10.1,0.526,14.8,0.273,775,1693,0.458,232,630,0.368,462,650,0.711,258,1047,365,183,111,348,501,2016
"4280",4280,216,"North Dakota",32,22,10,0.688,-1.83,-5.45,14,4,11,2,7,6,2578,2357,0.364,0.305,0.573,50.5,52.6,7.5,0.542,15.7,0.26,926,1919,0.483,228,585,0.39,498,698,0.713,297,1146,487,251,93,419,672,2016
"4281",4281,217,"North Florida",34,15,19,0.441,-7.78,-1.65,8,6,10,5,4,13,2637,2674,0.369,0.415,0.554,51.9,48.3,10,0.53,18.5,0.242,926,2025,0.457,295,841,0.351,490,748,0.655,423,1321,447,185,143,542,639,2016
"4285",4285,221,"Northern Colorado",29,11,18,0.379,-9.27,-4.2,7,11,6,6,4,11,2075,2167,0.354,0.439,0.533,50.7,53.6,6.1,0.516,17.3,0.214,732,1666,0.439,254,732,0.347,357,590,0.605,310,1075,392,147,64,407,563,2016
"4288",4288,224,"Northern Kentucky",35,24,11,0.686,-0.17,-2.84,12,6,12,2,8,7,2659,2507,0.363,0.422,0.557,53.1,52.4,7.1,0.529,16.4,0.247,928,2037,0.456,300,859,0.349,503,740,0.68,391,1319,486,200,98,468,622,2016
"4309",4309,245,"Presbyterian",30,5,25,0.167,-23.63,-5.95,1,17,5,8,0,17,1836,2245,0.289,0.323,0.499,48.2,54.6,7.7,0.468,19.7,0.198,667,1618,0.412,181,523,0.346,321,468,0.686,300,979,364,143,72,451,519,2016
"4336",4336,272,"Seattle",30,13,17,0.433,-8.36,-3.95,5,9,9,7,3,9,2091,2141,0.348,0.459,0.545,47.1,66.8,6.1,0.512,18.5,0.246,713,1646,0.433,260,756,0.344,405,573,0.707,223,1011,476,199,62,436,568,2016
"4341",4341,277,"South Carolina Upstate",33,17,16,0.515,-7.64,-5.23,7,7,8,8,7,8,2575,2530,0.312,0.402,0.549,51.4,54.3,7.9,0.528,15.2,0.205,936,2042,0.458,284,821,0.346,419,638,0.657,396,1279,508,179,104,421,545,2016
"4343",4343,279,"South Dakota State",35,18,17,0.514,-2.3,-0.66,8,8,11,3,3,12,2683,2697,0.404,0.456,0.581,50.7,52.1,7.2,0.537,16.4,0.311,881,1938,0.455,318,883,0.36,603,782,0.771,316,1229,459,180,83,453,584,2016
