Rk,School,G,TeamW,TeamL,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
250,San Jose State,29,6,23,0.207,-4.34,3.59,1,17,4,10,0,12,1779,1957,,,0.303,0.297,0.509,47.6,55.4,,3.3,0.483,18.1,,0.2,1175,652,1527,0.427,170,453,0.375,305,462,0.66,268,856,361,170,47,385,585
251,Santa Clara,32,16,16,0.5,0.8,2.61,6,8,12,6,3,8,2103,2131,,,0.348,0.377,0.514,50.9,54.6,,5.2,0.479,17.9,,0.24,,729,1755,0.415,224,662,0.338,421,611,0.689,371,1100,398,216,89,445,596
252,Savannah State,28,4,24,0.143,-22.3,-3.52,,,3,6,1,16,1691,2217,,,0.276,0.248,0.429,47.1,42.3,,6.7,0.406,20,,0.158,,643,1744,0.369,129,433,0.298,276,482,0.573,432,1057,272,193,107,494,663
253,Seton Hall NCAA,31,21,10,0.677,14.28,7.78,10,6,13,2,6,5,2228,2028,,,0.346,0.296,0.544,51.7,50.4,,5.3,0.51,16.4,,0.247,1250,806,1759,0.458,181,521,0.347,435,609,0.714,359,1134,406,207,95,403,573
254,Siena,30,14,16,0.467,-4.66,-2.32,9,9,9,7,5,9,2071,2141,,,0.352,0.258,0.485,54,58.8,,5.7,0.447,17.4,,0.239,,741,1828,0.405,152,471,0.323,437,643,0.68,476,1228,436,202,96,448,624
255,South Alabama,28,12,16,0.429,-4.37,-1.21,6,9,8,5,3,10,1845,1886,,,0.286,0.401,0.51,47.3,47,,3.7,0.486,17.6,,0.187,1125,666,1592,0.418,216,638,0.339,297,456,0.651,342,900,313,204,53,385,560
256,South Carolina State,29,18,11,0.621,-6.82,-10.14,14,4,10,1,6,6,2003,1888,,,0.43,0.288,0.543,53.5,47.4,,3.8,0.498,20.3,,0.311,1160,690,1533,0.45,146,442,0.33,477,659,0.724,348,985,327,247,56,469,569
257,South Carolina NCAA,34,23,11,0.676,12.77,5.33,8,8,14,3,5,6,2383,2130,,,0.354,0.355,0.524,49.3,59,,9.3,0.492,16.4,,0.239,1375,846,1948,0.434,226,691,0.327,465,690,0.674,423,1224,499,300,178,448,609
258,South Florida,27,7,20,0.259,-2.3,4.92,1,15,6,9,1,11,1654,1849,,,0.387,0.279,0.507,48.7,59.2,,9.2,0.473,20.2,,0.253,,591,1379,0.429,123,385,0.319,349,534,0.654,279,921,350,142,143,414,486
259,Southeast Missouri State,27,11,16,0.407,-5.49,-3.25,4,12,8,5,2,11,1918,1930,,,0.316,0.35,0.547,48.8,53.4,,4,0.516,15.8,,0.225,1080,687,1525,0.45,201,534,0.376,343,482,0.712,280,861,367,181,59,329,456
260,Southeastern Louisiana,29,20,9,0.69,-5.07,-7.95,11,5,14,1,5,7,2132,1982,,,0.429,0.309,0.541,51.2,54.2,,5.8,0.505,17,,0.293,,743,1637,0.454,167,506,0.33,479,703,0.681,337,1026,403,208,93,405,546
